# Title: zh
# Language: zh (prob: 1.00)
# Duration: 860.4s
# Transcription time: 1.0s

# === Full text ===
﹐白色恐怖，政治受難者，1945年,日本戰敗投降,國民政府接收台灣。不久,國共內戰爆發,1949年,國軍節節敗退。政府為鞏固政權,發布台灣省戒嚴令,懲治叛亂條例,刊亂時期減速匪諜條例等相關法案,鎮壓異己,造成許多家庭的悲劇,高壓統治長達四十餘年,稱為白色恐怖時期。白色恐怖時期的政治案件,1950年代,多涉及中國共產黨台灣省工作委員會相關活動,即台灣民主自治同盟案件。1960年代以後,則已涉及台獨活動居多。由於政治檔案未完全公開,白色恐怖確實受害人數目前尚無官方確切說法。白色恐怖時期,不僅受難者及家屬受到傷害,更造成一般民眾對政治社會冷漠近生,影響極為深遠。今日,當我們為豐碩的民主成果感到光榮,卻常忘記過去長達四十多年的白色恐怖,有許多人遭受不人道的刑求、關押、審判,有人犧牲了性命,更多的青春遭受國家機器的侵害,至今傷口仍未愈合。我很想知道是誰殺了我的朋友。要理清真相,追究歷史的責任,這樣才能避免族群的對立達成社會的火箭。在受難者、家屬、學者及各界多年努力下,2018年3月15日,國家人權博物館成立,為台灣推動人權教育,落實人權普世價值,立下重要的里程碑。國家人權博物館是亞洲第一座結合歷史遺址,闡述威權統治、著商人權歷史的博物館,下轄兩組三中心,透過保存、維護、紀念、展示、研究、教育、推廣,重新拼集隱默在各個角落的政治受難故事,保存記憶受難場域,落實轉型正義的價值,成為台灣社會民主人權的觀景窗。人權博物館所管理的白色恐怖綠島紀念園區,白色恐怖景美紀念園區,分別層是人民記憶的監獄島與軍事審判場域,皆為威權統治時期,統治者大規模侵害人權事件的遺址,是具有教育意義的負面文化資產,也是見證台灣人權發展歷程的紀念地景。白色恐怖景美紀念園區,位於興典西畔,秀朗橋下,前身為國防部軍法學校。1967年之後,國防部軍法局、副判局、警備總部軍法處、看守所等機關先後遷入,對政治犯的威脅,不斷增加,看守所等機關先後遷入,對政治犯的關押,偵訊,起訴,審判,待兼執行都在此處進行,是白色恐怖威權時期國家機械運作的典型場域。目前園區保存完整的白色恐怖遺跡,包括景美看守所仁愛樓,第一法庭,軍事法庭。軍事法庭是收押、審訊、辯論,及宣判的場所,不過白色恐怖時期的這些法律程序都只圖具形式。當年名作家博洋,中廣廣播名人崔小平,流日醫生陳忠統,還有台南美國新聞處,台北花旗銀行的爆炸案,這些備受矚目的政治案件都在這裡秘密審判。1980年的美麗島大審在國際輿論壓力下才破天荒對外公開。長達九天的軍法大審是國際的第一法庭審理。1984年發生轟動國際的江南案,主導該案的國防部情報局局長汪希林,1985年被判無期徒刑,當局在營區的一個角落另外批鑒設備齊全的污涉,供汪希林等人服刑。其實只是形式上的軟禁。相較於特區,行美看守所,仁愛樓的生活就有天壤之別。1968年建造完成的仁愛樓是兩層樓的建築,圍牆上布滿鐵絲網,從壓區、放風區到外移區,政治犯的生活都在圍牆之內。壓區約占仁愛樓三分之一的空間,壓房有只觀一人的獨居房,為了防止政治犯自殘,獨居房四周牆壁還加裝了軟墊。除了獨居房,另外還有一層大廈,有建築工廠,有建築工廠,有建築工廠,有建築工廠,有建築工廠,有建築工廠,有建築工廠,除了獨居房,另外還有可觀三至四人的小壓房,以及可容六至十人的大壓房。當時女囚犯積壓在仁愛樓二樓左側的雙排密閉式囚房。在壓房的政治犯只有表現良好的,每次輪流放風15分鐘。長嬰景美多餘的天氣而取消。在壓人犯起訴後,每星期家屬可以探視一次,再允許隔著玻璃以電話用國語交談十分鐘。整個過程有特務監聽錄音,不准談論案情或看守所內部事情。對於政治犯家屬而言,他們替當事人承擔起外界誤解的眼光,也受到一句的疏離。雖然沒有被關,卻像在監獄外坐牢。第一次來的時候,是小學六年級,在我當時當家屬的時候,媽媽就會牽著我跟弟弟的手進來。然後媽媽先講話,媽媽講完以後,爸爸就用手指我一下就是換我。可是每一次我拿起電話,我就說不出話來了。想看到他,又怕看到他。他們可以申請到外役區工作。這裡與押區完全隔開,有福利社、醫務室、外役餐廳與圖書室。另外設有洗衣工廠、縫衣工廠、美工工廠等,是附設的營利單位。他們的工作就是把所有的工具全部運來。在1970年代,行美看守所曾發生多次政治犯名單外洩事件,以免被指控。在1970年代,行美看守所曾發生多次政治犯名單外洩事件。以免被指控。在1970年代,行美看守所曾發生多次政治犯名單外洩事件,引發國際人權組織關注與海內外輿論,令當時聲稱台灣沒有政治犯的政府當局產生莫大壓力。當時我在醫務室1969到1979,做外役醫生的時候,我就利用跟每一個人體檢的資料寫在我們的病歷上。比如說他是哪裡人幾歲,犯的是什麼罪,或者是大概的案情。那個時候我們大概有300多筆的資料,從外國的財財員去收衣服到外面去的難友。那麼這些資料在我們當時要傳到國外的時候就非常有幫助。在政治受難者的協助下,透過口述歷史,影像記錄,場景復原,舉辦展覽,導覽解說,讓參觀者站在歷史遺址上,想像過去在這裡經歷生活過的每個角色,進而共改,想像各個身份,立場,憲制與不由自主的情境。白色恐怖景美紀念園區,2018年5月18日正式掛牌成立,成為國內外重要的人權教育場域與平台。未來,國家人權博物館將以受難者的口述歷史個人史料為基礎,將每位受難者的白色恐怖境遇還原於歷史脈絡中,重新架構威權體制殘害人權的全貌,協助釐清歷史的真相,讓遭受不當判決的前輩們恢復應有的尊嚴與名譽,發揮博物館,促進社會多元溝通的使命,成為深化人權的基地。我希望我的小孩能夠平安健康地長大,我想以後當一個模特兒。退休後,我想環遊世界。雖然我85歲,我還想繼續念書。我希望我的小孩能夠平安健康地長大。

# === With timestamps ===
[0.0s - 6.0s] ﹐白色恐怖，政治受難者，
[31.0s - 36.0s] 1945年,日本戰敗投降,國民政府接收台灣。
[36.0s - 43.0s] 不久,國共內戰爆發,1949年,國軍節節敗退。
[43.0s - 48.0s] 政府為鞏固政權,發布台灣省戒嚴令,
[48.0s - 54.0s] 懲治叛亂條例,刊亂時期減速匪諜條例等相關法案,
[54.0s - 58.0s] 鎮壓異己,造成許多家庭的悲劇,
[58.0s - 65.0s] 高壓統治長達四十餘年,稱為白色恐怖時期。
[65.0s - 70.0s] 白色恐怖時期的政治案件,1950年代,
[70.0s - 75.0s] 多涉及中國共產黨台灣省工作委員會相關活動,
[75.0s - 79.0s] 即台灣民主自治同盟案件。
[79.0s - 85.0s] 1960年代以後,則已涉及台獨活動居多。
[85.0s - 89.0s] 由於政治檔案未完全公開,
[89.0s - 95.0s] 白色恐怖確實受害人數目前尚無官方確切說法。
[95.0s - 100.0s] 白色恐怖時期,不僅受難者及家屬受到傷害,
[100.0s - 105.0s] 更造成一般民眾對政治社會冷漠近生,
[105.0s - 109.0s] 影響極為深遠。
[109.0s - 113.0s] 今日,當我們為豐碩的民主成果感到光榮,
[113.0s - 117.0s] 卻常忘記過去長達四十多年的白色恐怖,
[117.0s - 123.0s] 有許多人遭受不人道的刑求、關押、審判,
[123.0s - 125.0s] 有人犧牲了性命,
[125.0s - 129.0s] 更多的青春遭受國家機器的侵害,
[129.0s - 132.0s] 至今傷口仍未愈合。
[134.0s - 139.0s] 我很想知道是誰殺了我的朋友。
[140.0s - 144.0s] 要理清真相,追究歷史的責任,
[144.0s - 149.0s] 這樣才能避免族群的對立達成社會的火箭。
[151.0s - 156.0s] 在受難者、家屬、學者及各界多年努力下,
[156.0s - 159.0s] 2018年3月15日,
[159.0s - 162.0s] 國家人權博物館成立,
[162.0s - 165.0s] 為台灣推動人權教育,
[165.0s - 167.0s] 落實人權普世價值,
[167.0s - 170.0s] 立下重要的里程碑。
[172.0s - 176.0s] 國家人權博物館是亞洲第一座結合歷史遺址,
[176.0s - 180.0s] 闡述威權統治、著商人權歷史的博物館,
[180.0s - 183.0s] 下轄兩組三中心,
[183.0s - 191.0s] 透過保存、維護、紀念、展示、研究、教育、推廣,
[191.0s - 195.0s] 重新拼集隱默在各個角落的政治受難故事,
[195.0s - 198.0s] 保存記憶受難場域,
[198.0s - 201.0s] 落實轉型正義的價值,
[201.0s - 205.0s] 成為台灣社會民主人權的觀景窗。
[210.0s - 214.0s] 人權博物館所管理的白色恐怖綠島紀念園區,
[214.0s - 217.0s] 白色恐怖景美紀念園區,
[218.0s - 223.0s] 分別層是人民記憶的監獄島與軍事審判場域,
[223.0s - 226.0s] 皆為威權統治時期,
[226.0s - 230.0s] 統治者大規模侵害人權事件的遺址,
[230.0s - 233.0s] 是具有教育意義的負面文化資產,
[233.0s - 238.0s] 也是見證台灣人權發展歷程的紀念地景。
[247.0s - 250.0s] 白色恐怖景美紀念園區,
[250.0s - 253.0s] 位於興典西畔,秀朗橋下,
[253.0s - 256.0s] 前身為國防部軍法學校。
[256.0s - 259.0s] 1967年之後,
[259.0s - 262.0s] 國防部軍法局、副判局、
[262.0s - 267.0s] 警備總部軍法處、看守所等機關先後遷入,
[267.0s - 270.0s] 對政治犯的威脅,
[270.0s - 273.0s] 不斷增加,
[273.0s - 276.0s] 看守所等機關先後遷入,
[276.0s - 279.0s] 對政治犯的關押,
[279.0s - 282.0s] 偵訊,起訴,審判,
[282.0s - 285.0s] 待兼執行都在此處進行,
[285.0s - 288.0s] 是白色恐怖威權時期
[288.0s - 291.0s] 國家機械運作的典型場域。
[293.0s - 297.0s] 目前園區保存完整的白色恐怖遺跡,
[297.0s - 300.0s] 包括景美看守所仁愛樓,
[300.0s - 303.0s] 第一法庭,軍事法庭。
[305.0s - 309.0s] 軍事法庭是收押、審訊、辯論,
[309.0s - 312.0s] 及宣判的場所,
[312.0s - 315.0s] 不過白色恐怖時期的這些法律程序
[315.0s - 318.0s] 都只圖具形式。
[318.0s - 321.0s] 當年名作家博洋,
[321.0s - 324.0s] 中廣廣播名人崔小平,
[324.0s - 327.0s] 流日醫生陳忠統,
[327.0s - 330.0s] 還有台南美國新聞處,
[330.0s - 333.0s] 台北花旗銀行的爆炸案,
[333.0s - 336.0s] 這些備受矚目的政治案件
[336.0s - 339.0s] 都在這裡秘密審判。
[344.0s - 347.0s] 1980年的美麗島大審
[347.0s - 350.0s] 在國際輿論壓力下
[350.0s - 353.0s] 才破天荒對外公開。
[353.0s - 356.0s] 長達九天的軍法大審
[356.0s - 359.0s] 是國際的第一法庭審理。
[364.0s - 367.0s] 1984年發生轟動國際的江南案,
[367.0s - 371.0s] 主導該案的國防部情報局局長汪希林,
[371.0s - 374.0s] 1985年被判無期徒刑,
[374.0s - 377.0s] 當局在營區的一個角落
[377.0s - 380.0s] 另外批鑒設備齊全的污涉,
[380.0s - 383.0s] 供汪希林等人服刑。
[383.0s - 386.0s] 其實只是形式上的軟禁。
[389.0s - 392.0s] 相較於特區,
[392.0s - 395.0s] 行美看守所,
[395.0s - 398.0s] 仁愛樓的生活就有天壤之別。
[398.0s - 401.0s] 1968年建造完成的仁愛樓
[401.0s - 404.0s] 是兩層樓的建築,
[404.0s - 407.0s] 圍牆上布滿鐵絲網,
[407.0s - 410.0s] 從壓區、放風區到外移區,
[410.0s - 413.0s] 政治犯的生活都在圍牆之內。
[441.0s - 444.0s] 壓區約占仁愛樓三分之一的空間,
[444.0s - 447.0s] 壓房有只觀一人的獨居房,
[447.0s - 450.0s] 為了防止政治犯自殘,
